"","filename","path","mouse.id","input.case","count"
"62","IGHV1-50_IGHJ4_33_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-50_IGHJ4_33_1.fasta","m1","all",2
"63","IGHV1-52_IGHJ3_36_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-52_IGHJ3_36_2.fasta","m1","all",2
"64","IGHV1-52_IGHJ3_39_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-52_IGHJ3_39_1.fasta","m1","all",2
"65","IGHV1-52_IGHJ4_36_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-52_IGHJ4_36_1.fasta","m1","all",2
"66","IGHV1-53_IGHJ1_45_3.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-53_IGHJ1_45_3.fasta","m1","all",2
"67","IGHV1-53_IGHJ2_27_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-53_IGHJ2_27_1.fasta","m1","all",2
"68","IGHV1-53_IGHJ2_36_3.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-53_IGHJ2_36_3.fasta","m1","all",2
"69","IGHV1-53_IGHJ2_42_2.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-53_IGHJ2_42_2.fasta","m1","all",2
"70","IGHV1-53_IGHJ2_42_3.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-53_IGHJ2_42_3.fasta","m1","all",2
"71","IGHV1-55_IGHJ2_42_1.fasta","/home/hieu/outdir/sc_bulk_BCR_data_analysis_v0.1/VDJ_output/03_output/FASTA_output/PROJECT/VDJ_output_0.85/m1/all/IGHV1-55_IGHJ2_42_1.fasta","m1","all",2
