VJ.combi,count.seq,mouseID,analysis_type,filename,path
IGHV2-5*01_IGHJ3*01_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV2-5-01_IGHJ3-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV2-5-01_IGHJ3-01_48_1.aln.fasta
IGHV1-53*01_IGHJ4*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-53-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-53-01_IGHJ4-01_45_1.aln.fasta
IGHV1-75*01_IGHJ3*01_33_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-75-01_IGHJ3-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-75-01_IGHJ3-01_33_1.aln.fasta
IGHV1-80*01_IGHJ4*01_45_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-80-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-80-01_IGHJ4-01_45_1.aln.fasta
IGHV5-17*01_IGHJ4*01_27_1,3,m37,neg_YFP,m37_neg_YFP_IGHV5-17-01_IGHJ4-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV5-17-01_IGHJ4-01_27_1.aln.fasta
IGHV1-66*01_IGHJ2*01_24_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-66-01_IGHJ2-01_24_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-66-01_IGHJ2-01_24_1.aln.fasta
IGHV1-74*01_IGHJ2*01_42_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-74-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-74-01_IGHJ2-01_42_1.aln.fasta
IGHV1-52*01_IGHJ3*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-52-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-52-01_IGHJ3-01_39_1.aln.fasta
IGHV14-3*01_IGHJ4*01_48_1,3,m37,neg_YFP,m37_neg_YFP_IGHV14-3-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV14-3-01_IGHJ4-01_48_1.aln.fasta
IGHV1-80*01_IGHJ2*01_60_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-80-01_IGHJ2-01_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-80-01_IGHJ2-01_60_1.aln.fasta
IGHV3-1*01_IGHJ1*03_33_1,3,m37,neg_YFP,m37_neg_YFP_IGHV3-1-01_IGHJ1-03_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV3-1-01_IGHJ1-03_33_1.aln.fasta
IGHV1-42*01_IGHJ3*01_42_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-42-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-42-01_IGHJ3-01_42_1.aln.fasta
IGHV1-26*01_IGHJ2*01_30_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-26-01_IGHJ2-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-26-01_IGHJ2-01_30_1.aln.fasta
IGHV1-72*01_IGHJ2*01_39_2,3,m37,neg_YFP,m37_neg_YFP_IGHV1-72-01_IGHJ2-01_39_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-72-01_IGHJ2-01_39_2.aln.fasta
IGHV1-39*01_IGHJ3*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-39-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-39-01_IGHJ3-01_39_1.aln.fasta
IGHV1-61*01_IGHJ1*03_18_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-61-01_IGHJ1-03_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-61-01_IGHJ1-03_18_1.aln.fasta
IGHV8-12*01_IGHJ2*01_47_1,3,m37,neg_YFP,m37_neg_YFP_IGHV8-12-01_IGHJ2-01_47_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV8-12-01_IGHJ2-01_47_1.aln.fasta
IGHV2-2*01_IGHJ2*01_43_1,3,m37,neg_YFP,m37_neg_YFP_IGHV2-2-01_IGHJ2-01_43_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV2-2-01_IGHJ2-01_43_1.aln.fasta
IGHV1-59*01_IGHJ1*03_55_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-59-01_IGHJ1-03_55_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-59-01_IGHJ1-03_55_1.aln.fasta
IGHV1-61*01_IGHJ1*01_39_1,3,m37,neg_YFP,m37_neg_YFP_IGHV1-61-01_IGHJ1-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-61-01_IGHJ1-01_39_1.aln.fasta
